,token_id,type
438,438,Female
439,439,Male
440,440,Female
441,441,Male
442,442,Male
443,443,Female
444,444,Male
445,445,Female
446,446,Female
447,447,Male
448,448,Male
449,449,Female
450,450,Male
451,451,Male
452,452,Male
453,453,Male
454,454,Male
455,455,Male
456,456,Male
457,457,Male
458,458,Male
459,459,Male
460,460,Female
461,461,Male
462,462,Male
463,463,Male
464,464,Female
465,465,Male
466,466,Female
467,467,Male
468,468,Male
469,469,Female
470,470,Male
471,471,Female
472,472,Male
473,473,Female
474,474,Female
475,475,Female
476,476,Male
477,477,Female
478,478,Male
479,479,Female
480,480,Male
481,481,Female
482,482,Female
483,483,Male
484,484,Male
485,485,Male
486,486,Female
487,487,Male
488,488,Female
489,489,Male
490,490,Female
491,491,Female
492,492,Male
493,493,Female
494,494,Male
495,495,Male
496,496,Male
497,497,Male
498,498,Female
499,499,Female
500,500,Female
501,501,Female
