ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
1033,"CHEESE,PARMESAN,HARD",392,35.75,25.83,3.22,1602,16.41,68,0.8,1184,0.82,92,0,0.22,0.5
1034,"CHEESE,PORT DE SALUT",352,23.78,28.2,0.57,534,16.691,123,0.57,650,0.43,136,0,0.24,0.5
1035,"CHEESE,PROVOLONE",351,25.58,26.62,2.14,876,17.078,69,0.56,756,0.52,138,0,0.23,0.5
1036,"CHEESE,RICOTTA,WHOLE MILK",174,11.26,12.98,3.04,84,8.295,51,0.27,207,0.38,105,0,0.11,0.2
1037,"CHEESE,RICOTTA,PART SKIM MILK",138,11.39,7.91,5.14,125,4.927,31,0.31,272,0.44,125,0,0.07,0.1
1038,"CHEESE,ROMANO",387,31.8,26.94,3.63,1200,17.115,104,0.73,1064,0.77,86,0,0.23,0.5
1039,"CHEESE,ROQUEFORT",369,21.54,30.64,2,1809,19.263,90,,662,0.56,91,0,,
1040,"CHEESE,SWISS",380,26.93,27.8,5.38,192,17.779,92,1.32,791,0.2,77,0,0.38,0.5
1041,"CHEESE,TILSIT",340,24.41,25.98,1.88,753,16.775,102,,700,0.23,65,0,,
1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371,18.13,31.79,3.7,1671,18.057,100,2.26,1045,0.63,132,0,0.8,7.5
1043,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,31.2,1.73,1428,19.663,94,0.62,614,0.42,162,2.3,0.29,0.5
1044,"CHEESE,PAST PROCESS,SWISS",334,24.73,25.01,2.1,1370,16.045,85,1.23,772,0.61,216,0,0.34,0.5
1045,"CHEESE FD,COLD PK,AMERICAN",331,19.66,24.46,8.32,966,15.355,64,,497,0.84,363,0,,
1046,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330,16.86,25.63,8.56,1284,15.057,98,5.59,682,0.26,255,0,0.63,2.5
1047,"CHEESE FD,PAST PROCESS,SWISS",323,21.92,24.14,4.5,1552,15.487,82,,723,0.6,284,0,,
1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",290,16.41,21.23,8.73,1625,13.327,55,7.32,562,0.33,242,0,0.19,0.4
1049,"CREAM,FLUID,HALF AND HALF",130,2.96,11.5,4.3,41,7.158,37,0.16,105,0.07,130,0.9,0.33,0.2
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195,2.7,19.31,3.66,40,12.02,66,0.14,96,0.04,122,0.8,0.55,0.4
1052,"CREAM,FLUID,LT WHIPPING",292,2.17,30.91,2.96,34,19.337,111,0.11,69,0.03,97,0.6,0.88,0.6
1053,"CREAM,FLUID,HVY WHIPPING",345,2.05,37,2.79,38,23.032,137,0.11,65,0.03,75,0.6,1.06,0.7
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,22.22,12.49,8,13.831,76,8,101,0.05,147,0,0.64,0.4
1055,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,12,4.26,89,7.47,39,0.16,104,0.07,129,0.9,0.34,0.2
1056,"CREAM,SOUR,CULTURED",193,2.07,19.73,2.88,80,11.507,52,2.88,110,0.17,141,0.9,0.44,0.4
1057,EGGNOG,88,4.55,4.19,8.05,54,2.591,59,8.05,130,0.2,165,1.5,0.21,1.2
1058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178,3.25,16.57,4.68,48,13.272,5,4.68,113,0.03,162,0.9,1.34,0
1059,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63,3.33,3.46,4.74,57,0.768,2,,128,0.05,139,0.9,,
1060,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63,3.33,3.4,4.74,57,3.101,2,4.74,128,0.05,139,0.9,0.13,0
1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136,1,9.97,11.38,79,1.937,0,11.38,9,0.03,191,0,0.81,0
1068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136,1,9.97,11.38,79,9.304,0,,9,0.03,191,0,,
1069,"CREAM SUBSTITUTE,POWDERED",545,4.79,35.48,54.88,181,32.525,0,54.88,22,1.15,812,0,0.59,0
1070,"DESSERT TOPPING,POWDERED",577,4.9,39.92,52.54,122,36.723,0,52.54,17,0.03,166,0,1.52,0
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194,3.61,12.72,17.13,66,10.684,10,17.13,90,0.04,151,0.7,0.45,0.9
1072,"DESSERT TOPPING,PRESSURIZED",264,0.98,22.3,16.07,62,18.912,0,16.07,5,0.02,19,0,0.85,0
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",318,1.25,25.31,23.05,25,21.783,0,23.05,6,0.12,18,0,0.96,0
1074,"SOUR CRM,IMITN,CULTURED",208,2.4,19.52,6.63,102,17.791,0,6.63,3,0.39,161,0,0.74,0
1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61,1.75,3.41,6.16,78,3.037,0,,33,0.39,114,0,,
1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61,3.15,3.25,4.8,43,1.865,10,5.05,113,0.03,132,0,0.07,1.3
1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",64,3.28,3.66,4.65,49,2.278,14,,119,0.05,151,1.5,,
1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50,3.3,1.98,4.8,47,1.257,8,5.06,120,0.02,140,0.2,0.03,1.2
1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51,3.48,1.92,4.97,52,1.195,8,,128,0.05,162,1,,1
1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56,3.95,1.98,5.49,59,1.232,8,5.26,143,0.06,182,1.1,0.04,1
1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,0.97,4.99,44,0.633,5,5.2,125,0.03,150,0,0.01,1.2
1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43,3.48,0.97,4.97,52,0.604,4,,128,0.05,162,1,,1
1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48,3.93,1.17,5.52,58,0.728,4,,142,0.06,180,1.2,,1
1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,0.08,4.96,42,0.056,2,5.09,122,0.03,156,0,0.01,1.2
1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,0.25,5.02,53,0.162,2,5.02,129,0.05,171,1,0.01,1.2
1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41,3.96,0.25,5.56,59,0.162,2,,143,0.06,182,1.1,,1
1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,0.88,4.79,105,0.548,4,4.79,116,0.05,151,1,0.05,0
1089,"MILK,LO NA,FLUID",61,3.1,3.46,4.46,3,2.154,14,4.46,101,0.05,253,0.9,0.08,1.3
1090,"MILK,DRY,WHL,W/ ADDED VITAMIN D",496,26.32,26.71,38.42,371,16.742,97,38.42,912,0.47,1330,8.6,0.58,10.5
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,0.77,51.98,535,0.499,20,51.98,1257,0.32,1794,6.8,0,0
1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,0.72,52.19,549,0.467,18,52.19,1231,0.31,1705,5.6,0.01,11
1093,"MILK,DRY,NONFAT,CA RED",354,35.5,0.2,51.8,2280,0.124,2,,280,0.32,680,6.7,,
1094,"MILK,BUTTERMILK,DRIED",387,34.3,5.78,49,517,3.598,69,49,1184,0.3,1592,5.7,0.1,0.5
1095,"MILK,CND,COND,SWTND",321,7.91,8.7,54.4,127,5.486,34,54.4,284,0.19,371,2.6,0.16,0.2
1096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134,6.81,7.56,10.04,106,4.591,29,10.04,261,0.19,303,1.9,0.14,2
1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,0.2,11.35,115,0.121,4,11.35,290,0.29,332,1.2,0,2
1102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83,3.17,3.39,10.34,60,2.104,12,9.54,112,0.24,167,0.9,0.07,1.3
1103,"MILK,CHOC,FLUID,COMM,RED FAT",76,2.99,1.9,12.13,66,1.177,8,9.55,109,0.24,169,0,0.04,1.2
1104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63,3.24,1,10.44,61,0.616,3,9.94,116,0.27,170,0.9,0.02,1.1
1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.52,2.34,10.74,44,1.431,8,9.66,114,0.42,197,0.2,0.03,1.1
1106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69,3.56,4.14,4.45,50,2.667,11,4.45,134,0.05,204,1.3,0.07,1.3
1107,"MILK,HUMAN,MATURE,FLUID",70,1.03,4.38,6.89,17,2.009,14,6.89,32,0.03,51,5,0.08,0.1
1108,"MILK,INDIAN BUFFALO,FLUID",97,3.75,6.89,5.18,52,4.597,19,,169,0.12,178,2.3,,
1109,"MILK,SHEEP,FLUID",108,5.98,7,5.36,44,4.603,27,,193,0.1,137,4.2,,
1110,"MILK SHAKES,THICK CHOC",119,3.05,2.7,21.15,111,1.681,11,20.85,132,0.31,224,0,0.05,1
1111,"MILK SHAKES,THICK VANILLA",112,3.86,3.03,17.75,95,1.886,12,17.75,146,0.1,183,0,0.05,1.2
1112,"WHEY,ACID,FLUID",24,0.76,0.09,5.12,48,0.057,1,5.12,103,0.08,143,0.1,0,
1113,"WHEY,ACID,DRIED",339,11.73,0.54,73.45,968,0.342,3,73.45,2054,1.24,2289,0.9,0,0
1114,"WHEY,SWEET,FLUID",27,0.85,0.36,5.14,54,0.23,2,5.14,47,0.06,161,0.1,0,
1115,"WHEY,SWEET,DRIED",353,12.93,1.07,74.46,1079,0.684,6,74.46,796,0.88,2080,1.5,0.02,0
1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61,3.47,3.25,4.66,46,2.096,13,4.66,121,0.05,155,0.5,0.06,0.1
1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63,5.25,1.55,7.04,70,1,6,7.04,183,0.08,234,0.8,0.03,0
1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56,5.73,0.18,7.68,77,0.116,2,7.68,199,0.09,255,0.9,0,0
1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85,4.93,1.25,13.8,66,0.806,5,13.8,171,0.07,219,0.8,0.02,0
1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99,3.98,1.15,18.64,53,0.742,5,18.64,138,0.06,177,0.6,0.02,0
1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102,4.37,1.08,19.05,58,0.697,4,19.05,152,0.07,195,0.7,0.02,0
1122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105,4.86,1.41,18.6,65,0.909,6,,169,0.07,216,0.7,,
1123,"EGG,WHL,RAW,FRSH",143,12.56,9.51,0.72,142,3.126,372,0.37,56,1.75,138,0,1.05,2
1124,"EGG,WHITE,RAW,FRESH",52,10.9,0.17,0.73,166,0,0,0.71,7,0.08,163,0,0,0
1125,"EGG,YOLK,RAW,FRSH",322,15.86,26.54,3.59,48,9.551,1085,0.56,129,2.73,109,0,2.58,5.4
1126,"EGG,YOLK,RAW,FROZEN",303,15.5,25.6,1.15,67,7.82,945,0.51,138,3.34,118,0,2.49,5.2
1127,"EGG,YOLK,RAW,FRZ,SUGARED",307,13.8,22.75,10.8,67,6.97,959,,123,3.14,103,0,2.77,5.8
1128,"EGG,WHL,CKD,FRIED",196,13.61,14.84,0.83,207,4.323,401,0.4,62,1.89,152,0,1.31,2.2
1129,"EGG,WHL,CKD,HARD-BOILED",155,12.58,10.61,1.12,124,3.267,373,1.12,50,1.19,126,0,1.03,2.2
1130,"EGG,WHOLE,COOKED,OMELET",154,10.57,11.66,0.64,155,3.319,313,0.31,48,1.48,117,0,1.29,1.7
1131,"EGG,WHL,CKD,POACHED",143,12.51,9.47,0.71,297,3.113,370,0.37,56,1.75,138,0,1.04,2
1132,"EGG,WHL,CKD,SCRMBLD",149,9.99,10.98,1.61,145,3.331,277,1.39,66,1.31,132,0,1.15,1.8
1133,"EGG,WHOLE,DRIED",594,47.35,40.95,4.95,523,12.727,1507,3.08,231,6.79,493,0,3.88,8
1134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615,48.17,43.95,2.38,548,13.198,2017,,222,8.28,515,0,,
1135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351,76.92,0.04,4.17,1156,0,0,4.17,83,0.23,1042,0,0,
1136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376,82.4,0.04,4.47,1238,0,0,4.47,89,0.24,1116,0,0,0
1137,"EGG,YOLK,DRIED",666,34.25,55.8,3.6,135,17.154,2052,3.6,284,5.42,244,0,5.42,11.4
1138,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.81,13.77,1.45,146,3.681,884,0.93,64,3.85,222,0,1.34,1.7
1139,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.87,13.27,1.35,138,3.595,852,0.94,60,3.64,210,0,1.29,1.7
1140,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.05,11.09,0.41,141,3.557,844,0.4,64,3.65,132,0,1.08,1.4
1141,"EGG,TURKEY,WHL,FRSH,RAW",171,13.68,11.88,1.15,151,3.632,933,,99,4.1,142,0,,
1144,"EGG SUBSTITUTE,POWDER",444,55.5,13,21.8,800,3.766,572,21.8,326,3.16,744,0.8,1.26,0
1145,"BUTTER,WITHOUT SALT",717,0.85,81.11,0.06,11,51.368,215,0.06,24,0.02,24,0,2.32,1.5
1146,"CHEESE,PARMESAN,SHREDDED",415,37.86,27.34,3.41,1696,17.37,72,0.9,1253,0.87,97,0,0.25,0.5
1151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,0.08,4.96,42,0.051,2,5.09,122,0.03,156,0,0.01,0
1152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56,3.95,1.98,5.49,59,1.232,8,,143,0.06,182,1.1,,
1153,"MILK,CND,EVAP,W/ VIT A",134,6.81,7.56,10.04,106,4.591,29,,261,0.19,303,1.9,,
1154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362,36.16,0.77,51.98,535,0.499,20,51.98,1257,0.32,1794,6.8,0,11
1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358,35.1,0.72,52.19,549,0.47,18,52.19,1231,0.31,1705,5.6,0.01,0
1156,"CHEESE,GOAT,HARD TYPE",452,30.52,35.59,2.17,346,24.609,105,2.17,895,1.88,48,0,0.31,0.7
1157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,29.84,2.54,515,20.639,79,2.54,298,1.62,158,0,0.26,0.5
1159,"CHEESE,GOAT,SOFT TYPE",268,18.52,21.08,0.89,368,14.575,46,0.89,140,1.9,26,0,0.18,0.4
1160,"EGG,YOLK,RAW,FRZ,SALTED",274,14,23,1.6,3780,7.028,955,,114,3.75,117,0,2.8,5.9
1161,"CHEESE SUB,MOZZARELLA",248,11.47,12.22,23.67,685,3.711,0,23.67,610,0.4,455,0.1,0.11,0
1163,CHEESE FONDUE,229,14.23,13.47,3.77,132,8.721,45,,476,0.39,105,0,,
1164,"CHEESE SAU,PREP FROM RECIPE",197,10.33,14.92,5.48,493,8.034,38,0.19,311,0.35,142,0.6,0.09,1
1165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,29.98,4.63,1131,19.033,105,4.63,680,0.47,87,0,0.26,0.5
1166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,28.26,2.87,655,17.939,105,2.87,661,0.51,86,0,0.24,0.5
1167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,29.68,5.56,617,18.843,105,5.56,651,0.47,52,0,0.26,0.5
1168,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.35,7,1.91,612,4.342,21,0.52,415,0.42,66,0,0.06,0.1
1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,32.62,1.91,21,20.768,100,0.49,703,0.72,112,0,0.28,0.6
1171,"EGG,WHOLE,RAW,FROZEN",148,11.95,10.2,1.05,133,3.147,432,,59,1.85,130,0,,
1172,"EGG,WHITE,RAW,FROZEN",47,9.8,0,1.05,158,0,0,,7,0.05,136,0,,
1173,"EGG,WHITE,DRIED",382,81.1,0,7.8,1280,0,0,5.4,62,0.15,1125,0,0,
1174,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50,3.3,1.98,4.8,47,1.257,8,5.06,120,0.02,140,0.2,0.03,0
1175,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42,3.37,0.97,4.99,44,0.633,5,5.2,125,0.03,150,0,0.01,0
1178,"SOUR CREAM,REDUCED FAT",181,7,14.1,7,70,8.7,35,0.3,141,0.06,211,0.9,0.4,0.3
1179,"SOUR CREAM,LIGHT",138,3.5,10.6,7.1,71,6.6,35,0.22,141,0.07,212,0.9,0.3,0.2
1180,"SOUR CREAM,FAT FREE",74,3.1,0,15.6,141,0,9,0.39,125,0,129,0,0,0
1182,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282,27.2,18.3,2,725,11.58,56,0.58,905,0.13,93,0,0.16,0.3
1184,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43,3.86,0.18,7.5,59,0.116,2,7.5,143,0.12,177,1.1,0,0
1185,"PARMESAN CHS TOPPING,FAT FREE",370,40,5,40,1150,3.11,20,1.5,800,5,600,0,0.04,0
1186,"CHEESE,CREAM,FAT FREE",105,15.69,1,7.66,702,0.644,12,5.48,351,0.19,278,0,0.02,0
1187,"YOGURT,CHOC,NONFAT MILK",112,3.53,0,23.53,135,0,1,14.97,88,0.42,339,0,0,0
1188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276,12,21,9.2,1638,13.1,75,6.7,359,0.19,240,0.4,,
1189,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215,16.3,9.5,16.2,1705,6.4,35,8.2,418,0.16,297,0.4,,
1190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148,22.7,1,11.7,1298,0.7,16,6.7,712,0.05,236,0.2,,
1191,KRAFT VELVEETA PAST PROCESS CHS SPRD,303,16.3,22,9.8,1499,14.4,80,8.1,466,0.18,335,0.2,,
1192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222,19.6,10.6,11.8,1586,7.1,42,8.5,574,0.14,345,0.1,,
1193,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152,4.5,12,6.5,59,7.6,50,6.4,161,0.06,210,1.1,,
1194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91,4.7,1.3,15.1,72,0.8,9,7.2,141,0.05,219,1.2,,
1195,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96,3.8,0.8,18.2,52,0.5,9,17.4,125,0.1,192,0,,
1196,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108,3.2,0.8,21.9,45,0.5,9,19.6,91,0.11,151,0,,
1197,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102,3.8,0.9,19.9,55,0.5,9,17.2,108,0.13,177,0,,
1198,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55,3.4,0.2,9.9,45,0.1,5,7.7,95,0.11,146,0.6,,
1199,"CREAM,HALF & HALF,FAT FREE",59,2.6,1.4,9,100,0.841,5,5,96,0,206,0.7,0.04,0
1200,REDDI WIP FAT FREE WHIPPED TOPPING,149,3,5,25,72,2.869,16,16,108,0.03,108,0,0.09,0
1202,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78,2.99,1.9,12.13,66,1.177,8,9.55,194,0.24,123,0,0.04,
1203,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105,4.86,1.41,18.6,58,0.909,6,2.9,152,0.07,194,0.7,0.06,0
1204,"CHEESE,PARMESAN,DRY GRATED,RED FAT",265,20,20,1.37,1529,13.317,88,0,1109,0.9,125,0,0.17,0.4
1205,"CREAM SUB,FLAV,LIQ",251,0.69,13.5,35.07,80,2.635,0,33.04,6,0.59,96,0,1.58,0
1206,"CREAM SUB,FLAV,PDR",498,0.68,21.47,75.42,196,19.463,0,58.01,5,0.63,90,0,0.41,0
1208,"CHEESE,PROVOLONE,RED FAT",274,24.7,17.6,3.5,876,11.3,55,0.55,756,0.52,138,0,0.15,0.3
1209,"CHEESE,MEXICAN,BLEND,RED FAT",282,24.69,19.4,3.41,776,11.58,62,0.56,1146,0.13,93,0,0.17,0.4
1210,"EGG MIX,USDA CMDTY",555,35.6,34.5,23.97,576,10.305,975,2.46,171,3.23,373,,2.04,7.4
1211,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61,3.15,3.27,4.78,43,1.865,10,5.05,113,0.03,132,0,0.07,0.1
1212,"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496,26.32,26.71,38.42,371,16.742,97,38.42,912,0.47,1330,8.6,0.58,0.5
1214,"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135,6.81,7.56,10.04,106,4.591,29,10.04,261,0.19,303,1.9,0.16,0.1
1215,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240,17.6,14.1,10.6,1587,8.85,53,8.02,529,0.2,330,0,0.27,5.3
1216,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99,3.98,1.15,18.64,53,0.742,5,18.64,138,0.06,177,0.6,0.02,1.3
1217,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102,4.37,1.08,19.05,58,0.697,4,19.05,152,0.07,195,0.7,0.02,1.3
1218,"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95,4.4,0.2,19,58,0.119,2,19,152,0.07,194,0.7,0.06,1.3
1219,"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105,4.86,1.41,18.6,58,0.909,6,2.9,152,0.07,194,0.7,0.06,1.3
1220,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85,4.93,1.25,13.8,66,0.806,5,13.8,171,0.07,219,0.8,0.02,1.2
